"Level","Region/Subregion","Indicator","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Region","Oceania","Estimate: Female 0-14 Count",,,,,,,,,,,,,,,,68,47,56,37,50,39,52,38,12,71,57,37,39
"Region","Oceania","Estimate: Female 15-29 Count",,,,,,,,,,,,,,,,79,108,73,111,80,62,56,72,46,91,90,66,65
"Region","Oceania","Estimate: Female 30-44 Count",,,,,,,,,,,,,,,,138,103,112,125,126,147,150,156,197,117,130,125,118
"Region","Oceania","Estimate: Female 45-59 Count",,,,,,,,,,,,,,,,67,42,54,77,54,151,82,95,120,84,87,102,86
"Region","Oceania","Estimate: Female 60 or more Count",,,,,,,,,,,,,,,,33,53,49,54,36,46,52,34,31,72,49,80,57
"Region","Oceania","Female 0-14 Rate",,,,,,,,,,,,,,,,1.7,1.2,1.4,0.9,1.2,0.9,1.2,0.9,0.3,1.6,1.3,0.8,0.8
"Region","Oceania","Female 15-29 Rate",,,,,,,,,,,,,,,,2.1,2.9,1.9,2.8,2,1.5,1.4,1.7,1.1,2.1,2.1,1.5,1.5
"Region","Oceania","Female 30-44 Rate",,,,,,,,,,,,,,,,3.9,2.9,3.1,3.4,3.4,4,4,4.1,5.1,3,3.3,3.1,2.9
"Region","Oceania","Female 45-59 Rate",,,,,,,,,,,,,,,,2.3,1.4,1.8,2.5,1.7,4.7,2.5,2.9,3.6,2.5,2.5,2.9,2.4
"Region","Oceania","Female 60 or more Rate",,,,,,,,,,,,,,,,1.3,2,1.8,1.9,1.3,1.6,1.7,1.1,1,2.2,1.4,2.3,1.6
"Region","Oceania","Estimated Homicide Count: Firearms",,,,,,,,,,,,,,,,113,174,130,127,144,189,141,192,190,195,154,177,190
"Region","Oceania","Estimated Homicide Count: Other Mechanisms",,,,,,,,,,,,,,,,533,510,463,534,584,491,541,549,547,521,568,531,498
"Region","Oceania","Estimated Homicide Count: Sharp Objects",,,,,,,,,,,,,,,,373,353,314,337,391,385,392,348,362,399,380,413,430
"Region","Oceania","Estimated Homicide Count: Unknown Mechanisms",,,,,,,,,,,,,,,,19,18,20,19,18,25,29,18,29,29,53,43,39
"Region","Oceania","Firearms Rate",,,,,,,,,,,,,,,,0.3,0.5,0.4,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.4,0.4,0.5
"Region","Oceania","Other Mechanism Rate",,,,,,,,,,,,,,,,1.6,1.5,1.3,1.5,1.6,1.3,1.5,1.5,1.4,1.3,1.4,1.3,1.2
"Region","Oceania","Sharp Objects Rate",,,,,,,,,,,,,,,,1.1,1,0.9,1,1.1,1.1,1.1,0.9,0.9,1,1,1,1.1
"Region","Oceania","Unknown Mechanism Rate",,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1
"Subregion","Australia and New Zealand","Estimated Homicide Count",437,394,368,374,377,395,402,424,383,430,414,398,426,346,308,320,330,303,312,330,274,287,284,291,288,282,273,250
"Subregion","Australia and New Zealand","Homicide Rate",2.1,1.9,1.8,1.8,1.8,1.8,1.8,1.9,1.7,1.9,1.8,1.7,1.8,1.5,1.3,1.3,1.3,1.2,1.2,1.3,1,1.1,1,1.1,1,1,0.9,0.9
"Subregion","Australia and New Zealand","Estimated Homicide Count: Male",279,233,229,242,243,244,273,278,255,296,257,261,278,235,204,199,220,199,188,229,158,182,180,185,180,182,178,173
"Subregion","Australia and New Zealand","Estimated Homicide Count: Female",159,160,139,132,133,151,129,146,128,134,157,137,148,111,104,121,110,104,124,101,116,105,104,106,108,100,96,77
"Subregion","Australia and New Zealand","Male Homicide Rate",2.7,2.3,2.2,2.3,2.3,2.3,2.5,2.5,2.3,2.6,2.3,2.3,2.4,2,1.7,1.6,1.8,1.6,1.5,1.8,1.2,1.4,1.3,1.3,1.3,1.3,1.2,1.2
"Subregion","Australia and New Zealand","Female Homicide Rate",1.5,1.5,1.3,1.2,1.2,1.4,1.2,1.3,1.1,1.2,1.4,1.2,1.3,0.9,0.9,1,0.9,0.8,1,0.8,0.9,0.8,0.8,0.8,0.8,0.7,0.7,0.5
"Subregion","Australia and New Zealand","Estimate: Male 0-14 Count",,,,,,,,,,,,,,,,19,22,17,16,20,9,9,11,10,14,12,11,11
"Subregion","Australia and New Zealand","Estimate: Male 15-29 Count",,,,,,,,,,,,,,,,57,63,57,56,64,32,25,32,26,47,51,44,42
"Subregion","Australia and New Zealand","Estimate: Male 30-44 Count",,,,,,,,,,,,,,,,66,70,66,52,70,57,74,77,78,58,53,59,57
"Subregion","Australia and New Zealand","Estimate: Male 45-59 Count",,,,,,,,,,,,,,,,41,48,39,44,42,46,62,42,50,38,45,43,42
"Subregion","Australia and New Zealand","Estimate: Male 60 or more Count",,,,,,,,,,,,,,,,17,16,20,20,33,13,11,17,20,23,22,22,21
"Subregion","Australia and New Zealand","Male 0-14 Rate",,,,,,,,,,,,,,,,0.7,0.9,0.7,0.6,0.8,0.3,0.3,0.4,0.4,0.5,0.4,0.4,0.4
"Subregion","Australia and New Zealand","Male 15-29 Rate",,,,,,,,,,,,,,,,2.3,2.4,2.1,2,2.2,1.1,0.9,1.1,0.9,1.6,1.7,1.4,1.4
"Subregion","Australia and New Zealand","Male 30-44 Rate",,,,,,,,,,,,,,,,2.4,2.6,2.4,1.9,2.6,2.1,2.7,2.8,2.8,2,1.8,2,1.9
"Subregion","Australia and New Zealand","Male 45-59 Rate",,,,,,,,,,,,,,,,1.7,2,1.6,1.8,1.6,1.8,2.4,1.6,1.9,1.4,1.6,1.5,1.5
"Subregion","Australia and New Zealand","Male 60 or more Rate",,,,,,,,,,,,,,,,0.9,0.8,0.9,0.9,1.5,0.6,0.5,0.7,0.8,0.9,0.8,0.8,0.7
"Subregion","Australia and New Zealand","Estimate: Female 0-14 Count",,,,,,,,,,,,,,,,21,15,17,11,15,10,14,10,3,18,14,9,8
"Subregion","Australia and New Zealand","Estimate: Female 15-29 Count",,,,,,,,,,,,,,,,25,34,22,34,23,16,15,19,12,23,22,15,14
"Subregion","Australia and New Zealand","Estimate: Female 30-44 Count",,,,,,,,,,,,,,,,43,32,34,38,37,38,40,41,51,29,32,29,25
"Subregion","Australia and New Zealand","Estimate: Female 45-59 Count",,,,,,,,,,,,,,,,21,13,16,24,16,39,22,25,31,21,21,24,18
"Subregion","Australia and New Zealand","Estimate: Female 60 or more Count",,,,,,,,,,,,,,,,10,16,15,17,11,12,14,9,8,18,12,19,12
"Subregion","Australia and New Zealand","Female 0-14 Rate",,,,,,,,,,,,,,,,0.9,0.6,0.7,0.5,0.6,0.4,0.6,0.4,0.1,0.7,0.5,0.3,0.3
"Subregion","Australia and New Zealand","Female 15-29 Rate",,,,,,,,,,,,,,,,1,1.3,0.9,1.3,0.9,0.6,0.5,0.7,0.4,0.8,0.8,0.5,0.5
"Subregion","Australia and New Zealand","Female 30-44 Rate",,,,,,,,,,,,,,,,1.6,1.2,1.2,1.4,1.3,1.4,1.4,1.4,1.8,1,1.1,1,0.8
"Subregion","Australia and New Zealand","Female 45-59 Rate",,,,,,,,,,,,,,,,0.9,0.5,0.7,0.9,0.6,1.5,0.8,0.9,1.1,0.8,0.8,0.8,0.6
"Subregion","Australia and New Zealand","Female 60 or more Rate",,,,,,,,,,,,,,,,0.5,0.7,0.6,0.7,0.4,0.5,0.5,0.3,0.3,0.6,0.4,0.6,0.4
"Subregion","Australia and New Zealand","Estimated Homicide Count: Firearms",,,,,,,,,,,,,,,,35,54,42,39,42,47,37,49,49,49,38,42,41
"Subregion","Australia and New Zealand","Estimated Homicide Count: Other Mechanisms",,,,,,,,,,,,,,,,164,159,151,164,169,123,141,141,141,131,139,125,107
"Subregion","Australia and New Zealand","Estimated Homicide Count: Sharp Objects",,,,,,,,,,,,,,,,115,110,103,103,114,97,102,89,93,100,93,97,93
"Subregion","Australia and New Zealand","Estimated Homicide Count: Unknown Mechanisms",,,,,,,,,,,,,,,,6,6,6,6,5,6,8,5,7,7,13,10,8
"Subregion","Australia and New Zealand","Firearms Rate",,,,,,,,,,,,,,,,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0.1
"Subregion","Australia and New Zealand","Other Mechanism Rate",,,,,,,,,,,,,,,,0.7,0.6,0.6,0.6,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4
"Subregion","Australia and New Zealand","Sharp Objects Rate",,,,,,,,,,,,,,,,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.3,0.3,0.3
"Subregion","Australia and New Zealand","Unknown Mechanism Rate",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subregion","Caribbean","Estimated Homicide Count",3524,3797,3771,4135,4415,4335,4406,4390,4318,3992,4252,4458,4750,5349,6247,6737,6046,6242,6753,7019,7004,7034,6817,6620,5920,6284,6109,6631
"Subregion","Caribbean","Homicide Rate",10.3,10.9,10.7,11.6,12.3,11.9,11.9,11.8,11.5,10.5,11.1,11.5,12.1,13.5,15.7,16.8,14.9,15.3,16.4,16.9,16.8,16.7,16.1,15.5,13.8,14.5,14,15.1
"Subregion","Caribbean","Estimated Homicide Count: Male",3038,3273,3291,3615,3867,3782,3879,3869,3785,3495,3723,3936,4166,4765,5580,5981,5418,5601,6078,6337,6295,6309,6104,5933,5253,5632,5463,5953
"Subregion","Caribbean","Estimated Homicide Count: Female",485,524,480,520,548,553,527,521,532,497,529,522,584,584,668,756,628,642,675,681,709,725,713,687,667,652,646,678
"Subregion","Caribbean","Male Homicide Rate",17.8,18.9,18.8,20.4,21.5,20.8,21.1,20.8,20.2,18.5,19.5,20.4,21.4,24.3,28.2,30,26.9,27.6,29.8,30.8,30.4,30.2,29,28,24.6,26.2,25.2,27.3
"Subregion","Caribbean","Female Homicide Rate",2.8,3,2.7,2.9,3,3,2.8,2.8,2.8,2.6,2.7,2.7,3,2.9,3.3,3.7,3.1,3.1,3.3,3.3,3.4,3.4,3.3,3.2,3.1,3,2.9,3.1
"Subregion","Caribbean","Estimate: Male 0-14 Count",,,,,,,,,,,,,,,,79,71,67,76,79,87,81,58,63,59,54,53,61
"Subregion","Caribbean","Estimate: Male 15-29 Count",,,,,,,,,,,,,,,,2835,2570,2613,2841,3033,2948,2920,2834,2642,2304,2533,2358,2578
"Subregion","Caribbean","Estimate: Male 30-44 Count",,,,,,,,,,,,,,,,2048,1840,1918,2025,2068,2074,2124,2015,1981,1714,1868,1911,2059
"Subregion","Caribbean","Estimate: Male 45-59 Count",,,,,,,,,,,,,,,,704,661,725,821,848,849,866,861,932,853,859,832,908
"Subregion","Caribbean","Estimate: Male 60 or more Count",,,,,,,,,,,,,,,,315,276,278,316,309,337,318,336,316,324,318,309,348
"Subregion","Caribbean","Male 0-14 Rate",,,,,,,,,,,,,,,,1.3,1.2,1.2,1.3,1.4,1.5,1.4,1,1.1,1.1,1,0.9,1.1
"Subregion","Caribbean","Male 15-29 Rate",,,,,,,,,,,,,,,,55.9,50.2,50.5,54.4,57.5,55.5,54.6,52.7,48.9,42.6,46.8,43.3,47
"Subregion","Caribbean","Male 30-44 Rate",,,,,,,,,,,,,,,,48,43,44.9,47.7,48.9,49.2,50.4,47.7,46.8,40.2,43.6,44.4,47.5
"Subregion","Caribbean","Male 45-59 Rate",,,,,,,,,,,,,,,,25.9,23.6,25,27.4,27.4,26.5,26.4,25.6,27.1,24.3,24,23.1,25.1
"Subregion","Caribbean","Male 60 or more Rate",,,,,,,,,,,,,,,,15.2,13.1,12.9,14.3,13.7,14.5,13.4,13.7,12.5,12.5,11.9,11.6,13
"Subregion","Caribbean","Estimate: Female 0-14 Count",,,,,,,,,,,,,,,,52,45,44,48,45,38,39,37,45,35,38,42,37
"Subregion","Caribbean","Estimate: Female 15-29 Count",,,,,,,,,,,,,,,,283,244,238,234,231,270,303,262,265,247,259,235,261
"Subregion","Caribbean","Estimate: Female 30-44 Count",,,,,,,,,,,,,,,,269,213,219,238,254,252,210,223,218,210,193,201,207
"Subregion","Caribbean","Estimate: Female 45-59 Count",,,,,,,,,,,,,,,,106,83,85,105,95,96,111,111,102,102,104,104,110
"Subregion","Caribbean","Estimate: Female 60 or more Count",,,,,,,,,,,,,,,,47,44,56,51,56,53,62,81,57,72,58,65,63
"Subregion","Caribbean","Female 0-14 Rate",,,,,,,,,,,,,,,,0.9,0.8,0.8,0.9,0.8,0.7,0.7,0.7,0.8,0.7,0.7,0.8,0.7
"Subregion","Caribbean","Female 15-29 Rate",,,,,,,,,,,,,,,,5.6,4.8,4.7,4.5,4.5,5.2,5.8,5,5,4.7,4.9,4.4,4.9
"Subregion","Caribbean","Female 30-44 Rate",,,,,,,,,,,,,,,,6.1,4.8,5,5.4,5.8,5.8,4.8,5.1,5,4.8,4.4,4.5,4.6
"Subregion","Caribbean","Female 45-59 Rate",,,,,,,,,,,,,,,,3.7,2.8,2.8,3.3,3,2.9,3.2,3.2,2.9,2.8,2.8,2.8,2.9
"Subregion","Caribbean","Female 60 or more Rate",,,,,,,,,,,,,,,,2,1.8,2.3,2,2.1,2,2.3,2.8,2,2.4,1.9,2.1,2
"Subregion","Caribbean","Estimated Homicide Count: Firearms",,,,,,,,,,,,,,,,4333,3887,4096,4521,4651,4740,4544,4380,4257,3699,4095,4026,4353
"Subregion","Caribbean","Estimated Homicide Count: Other Mechanisms",,,,,,,,,,,,,,,,637,572,563,579,648,610,750,677,643,594,553,549,605
"Subregion","Caribbean","Estimated Homicide Count: Sharp Objects",,,,,,,,,,,,,,,,1675,1497,1483,1534,1603,1525,1617,1637,1629,1538,1549,1422,1566
"Subregion","Caribbean","Estimated Homicide Count: Unknown Mechanisms",,,,,,,,,,,,,,,,92,90,100,120,116,129,123,123,91,89,88,111,107
"Subregion","Caribbean","Firearms Rate",,,,,,,,,,,,,,,,10.8,9.6,10,11,11.2,11.3,10.8,10.3,10,8.6,9.4,9.2,9.9
"Subregion","Caribbean","Other Mechanism Rate",,,,,,,,,,,,,,,,1.6,1.4,1.4,1.4,1.6,1.5,1.8,1.6,1.5,1.4,1.3,1.3,1.4
"Subregion","Caribbean","Sharp Objects Rate",,,,,,,,,,,,,,,,4.2,3.7,3.6,3.7,3.9,3.7,3.8,3.9,3.8,3.6,3.6,3.3,3.6
"Subregion","Caribbean","Unknown Mechanism Rate",,,,,,,,,,,,,,,,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.2
"Subregion","Central America","Estimated Homicide Count",25815,26888,28678,29014,29708,29697,27821,27536,26322,22456,21433,21757,21452,23092,22685,23862,24768,23192,29776,37949,43841,46254,42750,39027,36549,39015,41083,45967
"Subregion","Central America","Homicide Rate",22.5,23,24,23.8,23.9,23.4,21.5,20.9,19.7,16.5,15.5,15.5,15.1,16,15.5,16.1,16.5,15.2,19.1,24,27.3,28.4,25.8,23.2,21.5,22.6,23.5,25.9
"Subregion","Central America","Estimated Homicide Count: Male",23101,24123,25803,26131,26817,26727,25015,24763,23521,20054,19109,19377,19080,20526,20159,21234,22065,20718,26875,34142,39590,41635,38300,34842,32549,34801,36542,40945
"Subregion","Central America","Estimated Homicide Count: Female",2714,2765,2875,2883,2891,2970,2806,2773,2802,2402,2324,2380,2372,2566,2526,2628,2703,2474,2901,3807,4251,4619,4450,4185,4000,4214,4541,5022
"Subregion","Central America","Male Homicide Rate",40.5,41.5,43.5,43.1,43.4,42.5,39,38,35.5,29.8,27.9,27.9,27.1,28.7,27.8,28.9,29.5,27.3,34.8,43.5,49.7,51.5,46.6,41.8,38.5,40.6,42.1,46.5
"Subregion","Central America","Female Homicide Rate",4.7,4.7,4.8,4.7,4.6,4.6,4.3,4.2,4.2,3.5,3.3,3.4,3.3,3.5,3.4,3.5,3.6,3.2,3.7,4.8,5.3,5.6,5.3,4.9,4.7,4.8,5.2,5.6
"Subregion","Central America","Estimate: Male 0-14 Count",,,,,,,,,,,,,,,,447,450,362,401,495,491,579,601,491,453,483,455,460
"Subregion","Central America","Estimate: Male 15-29 Count",,,,,,,,,,,,,,,,9721,9965,9325,11823,15254,17593,18648,17031,14986,13998,15062,15811,17310
"Subregion","Central America","Estimate: Male 30-44 Count",,,,,,,,,,,,,,,,6822,7239,6852,9336,12056,14551,15068,13583,12299,11593,12311,12996,15196
"Subregion","Central America","Estimate: Male 45-59 Count",,,,,,,,,,,,,,,,2833,2942,2790,3557,4441,4965,5165,5003,4856,4538,5037,5323,5872
"Subregion","Central America","Estimate: Male 60 or more Count",,,,,,,,,,,,,,,,1411,1469,1389,1757,1896,1991,2173,2081,2209,1968,1908,1957,2106
"Subregion","Central America","Male 0-14 Rate",,,,,,,,,,,,,,,,1.8,1.8,1.4,1.6,1.9,1.9,2.3,2.4,1.9,1.8,1.9,1.8,1.8
"Subregion","Central America","Male 15-29 Rate",,,,,,,,,,,,,,,,46.5,47.1,43.5,54.4,69.2,78.7,82.3,74.2,64.5,59.5,63.4,65.7,70.9
"Subregion","Central America","Male 30-44 Rate",,,,,,,,,,,,,,,,48,49.3,45.3,59.9,75.3,88.5,89.3,78.6,69.6,64.3,67.1,69.9,80.6
"Subregion","Central America","Male 45-59 Rate",,,,,,,,,,,,,,,,35.8,35.9,32.9,40.5,48.9,52.9,53.3,50.2,47.3,42.8,46,47.9,52.2
"Subregion","Central America","Male 60 or more Rate",,,,,,,,,,,,,,,,27.7,27.9,25.6,31.3,32.6,32.9,34.6,31.8,32.4,27.7,25.8,26.2,27.8
"Subregion","Central America","Estimate: Female 0-14 Count",,,,,,,,,,,,,,,,265,247,203,237,311,305,264,294,272,271,255,261,274
"Subregion","Central America","Estimate: Female 15-29 Count",,,,,,,,,,,,,,,,1074,1107,1041,1163,1585,1760,1972,1857,1674,1613,1726,1825,2000
"Subregion","Central America","Estimate: Female 30-44 Count",,,,,,,,,,,,,,,,680,728,671,849,1080,1266,1364,1346,1294,1174,1293,1422,1602
"Subregion","Central America","Estimate: Female 45-59 Count",,,,,,,,,,,,,,,,349,368,315,361,496,575,636,609,554,556,591,668,740
"Subregion","Central America","Estimate: Female 60 or more Count",,,,,,,,,,,,,,,,259,253,244,292,336,346,383,344,392,386,348,365,406
"Subregion","Central America","Female 0-14 Rate",,,,,,,,,,,,,,,,1.1,1,0.8,1,1.3,1.2,1.1,1.2,1.1,1.1,1.1,1.1,1.1
"Subregion","Central America","Female 15-29 Rate",,,,,,,,,,,,,,,,5.2,5.3,4.9,5.4,7.3,8,8.9,8.3,7.4,7,7.4,7.8,8.4
"Subregion","Central America","Female 30-44 Rate",,,,,,,,,,,,,,,,4.5,4.7,4.2,5.2,6.4,7.3,7.7,7.5,7,6.3,6.8,7.4,8.2
"Subregion","Central America","Female 45-59 Rate",,,,,,,,,,,,,,,,4.1,4.2,3.4,3.8,5,5.6,6,5.6,4.9,4.8,4.9,5.5,6
"Subregion","Central America","Female 60 or more Rate",,,,,,,,,,,,,,,,4.3,4.1,3.8,4.4,4.9,4.9,5.2,4.5,5,4.7,4.1,4.2,4.6
"Subregion","Central America","Estimated Homicide Count: Firearms",,,,,,,,,,,,,,,,16103,17138,16369,21383,27225,32571,33343,29695,27305,25409,27217,28895,32974
"Subregion","Central America","Estimated Homicide Count: Other Mechanisms",,,,,,,,,,,,,,,,2492,2595,1815,2421,3542,3735,4547,4025,3614,3158,3724,3803,4074
"Subregion","Central America","Estimated Homicide Count: Sharp Objects",,,,,,,,,,,,,,,,3438,3387,3368,4048,4695,4754,5668,5567,5144,4993,5243,5555,5670
"Subregion","Central America","Estimated Homicide Count: Unknown Mechanisms",,,,,,,,,,,,,,,,1829,1648,1640,1924,2487,2781,2697,3463,2964,2989,2831,2829,3249
"Subregion","Central America","Firearms Rate",,,,,,,,,,,,,,,,10.9,11.4,10.7,13.8,17.2,20.3,20.5,17.9,16.3,14.9,15.8,16.5,18.6
"Subregion","Central America","Other Mechanism Rate",,,,,,,,,,,,,,,,1.7,1.7,1.2,1.6,2.2,2.3,2.8,2.4,2.2,1.9,2.2,2.2,2.3
"Subregion","Central America","Sharp Objects Rate",,,,,,,,,,,,,,,,2.3,2.2,2.2,2.6,3,3,3.5,3.4,3.1,2.9,3,3.2,3.2
"Subregion","Central America","Unknown Mechanism Rate",,,,,,,,,,,,,,,,1.2,1.1,1.1,1.2,1.6,1.7,1.7,2.1,1.8,1.8,1.6,1.6,1.8
"Subregion","Central Asia","Estimated Homicide Count",3703,3394,4394,5909,5258,4843,5115,4930,4857,4499,4373,4108,3857,3771,3823,3775,3585,3327,3373,3381,3588,3142,2937,2734,2560,2578,2649,2629
"Subregion","Central Asia","Homicide Rate",7.4,6.6,8.5,11.3,9.9,9.1,9.5,9.1,8.9,8.2,7.9,7.3,6.8,6.6,6.6,6.4,6,5.5,5.5,5.4,5.7,4.9,4.5,4.1,3.8,3.8,3.8,3.7
"Subregion","Central Asia","Estimated Homicide Count: Male",2921,2667,3438,4606,4116,3797,4007,3858,3801,3525,3433,3226,3023,2937,2986,2946,2816,2582,2665,2536,2709,2410,2280,2065,1976,1908,2044,2030
"Subregion","Central Asia","Estimated Homicide Count: Female",782,727,956,1303,1142,1046,1108,1072,1056,974,940,882,834,834,837,829,769,745,708,844,879,732,657,670,584,671,605,598
"Subregion","Central Asia","Male Homicide Rate",11.8,10.6,13.5,17.9,15.8,14.4,15.1,14.4,14.1,13,12.5,11.7,10.8,10.4,10.4,10.2,9.6,8.7,8.8,8.3,8.7,7.6,7.1,6.3,5.9,5.6,5.9,5.8
"Subregion","Central Asia","Female Homicide Rate",3.1,2.8,3.6,4.9,4.3,3.9,4.1,3.9,3.8,3.5,3.3,3.1,2.9,2.9,2.8,2.8,2.6,2.4,2.3,2.7,2.7,2.3,2,2,1.7,1.9,1.7,1.7
"Subregion","Central Asia","Estimate: Male 0-14 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Central Asia","Estimate: Male 15-29 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Central Asia","Estimate: Male 30-44 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Central Asia","Estimate: Male 45-59 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Central Asia","Estimate: Male 60 or more Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Central Asia","Male 0-14 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Central Asia","Male 15-29 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Central Asia","Male 30-44 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Central Asia","Male 45-59 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Central Asia","Male 60 or more Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Central Asia","Estimate: Female 0-14 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Central Asia","Estimate: Female 15-29 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Central Asia","Estimate: Female 30-44 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Central Asia","Estimate: Female 45-59 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Central Asia","Estimate: Female 60 or more Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Central Asia","Female 0-14 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Central Asia","Female 15-29 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Central Asia","Female 30-44 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Central Asia","Female 45-59 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Central Asia","Female 60 or more Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Central Asia","Estimated Homicide Count: Firearms",,,,,,,,,,,,,,,,264,248,227,221,212,219,189,165,183,160,197,182,180
"Subregion","Central Asia","Estimated Homicide Count: Other Mechanisms",,,,,,,,,,,,,,,,1236,1178,1098,1128,1144,1183,1064,992,950,885,807,871,864
"Subregion","Central Asia","Estimated Homicide Count: Sharp Objects",,,,,,,,,,,,,,,,1898,1805,1673,1696,1695,1691,1548,1454,1370,1246,1262,1311,1302
"Subregion","Central Asia","Estimated Homicide Count: Unknown Mechanisms",,,,,,,,,,,,,,,,377,354,329,328,330,495,340,326,231,269,312,285,282
"Subregion","Central Asia","Firearms Rate",,,,,,,,,,,,,,,,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3
"Subregion","Central Asia","Other Mechanism Rate",,,,,,,,,,,,,,,,2.1,2,1.8,1.8,1.8,1.9,1.7,1.5,1.4,1.3,1.2,1.2,1.2
"Subregion","Central Asia","Sharp Objects Rate",,,,,,,,,,,,,,,,3.2,3,2.8,2.8,2.7,2.7,2.4,2.2,2.1,1.8,1.8,1.9,1.8
"Subregion","Central Asia","Unknown Mechanism Rate",,,,,,,,,,,,,,,,0.6,0.6,0.5,0.5,0.5,0.8,0.5,0.5,0.3,0.4,0.5,0.4,0.4
"Subregion","Eastern Africa","Estimated Homicide Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Eastern Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Eastern Africa","Estimated Homicide Count: Male",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Eastern Africa","Estimated Homicide Count: Female",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Eastern Africa","Male Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Eastern Africa","Female Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Eastern Africa","Estimate: Male 0-14 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Eastern Africa","Estimate: Male 15-29 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Eastern Africa","Estimate: Male 30-44 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Eastern Africa","Estimate: Male 45-59 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Eastern Africa","Estimate: Male 60 or more Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Eastern Africa","Male 0-14 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Eastern Africa","Male 15-29 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Eastern Africa","Male 30-44 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Eastern Africa","Male 45-59 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Eastern Africa","Male 60 or more Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Eastern Africa","Estimate: Female 0-14 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Eastern Africa","Estimate: Female 15-29 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Eastern Africa","Estimate: Female 30-44 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Eastern Africa","Estimate: Female 45-59 Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Eastern Africa","Estimate: Female 60 or more Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Eastern Africa","Female 0-14 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subregion","Eastern Africa","Female 15-29 Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
