"Country","Region","Indicator","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Botswana","Africa","Citizens Brought into Formal Contact",,,,,,,,,,,,,,,
"Botswana","Africa","Foreigners Brought into Formal Contact",,,,,,,,,,,,,,,
"Botswana","Africa","Male Citizens Brought into Formal Contact",,,,,,,,,,,,,,,
"Botswana","Africa","Female Citizens Brought into Formal Contact",,,,,,,,,,,,,,,
"Botswana","Africa","Male Foreigners Brought into Formal Contact",,,,,,,,,,,,,,,
"Botswana","Africa","Female Foreigners Brought into Formal Contact",,,,,,,,,,,,,,,
"Botswana","Africa","Persons Brought into Formal Contact not Intoxicated",,,,,,,,,,,,,,,
"Botswana","Africa","Persons Brought into Formal Contact Intoxicated by Alcohol",,,,,,,,,,,,,,,
"Botswana","Africa","Persons Brought into Formal Contact Intoxicated by Illicit Drugs",,,,,,,,,,,,,,,
"Botswana","Africa","Persons Brought into Formal Contact Intoxicated by Other Controlled Drugs or Psychoactive Substances",,,,,,,,,,,,,,,
"Botswana","Africa","Persons Brought into Formal Contact Intoxicated by a Combination of Psychoactive Substances",,,,,,,,,,,,,,,
"Botswana","Africa","Persons Brought into Formal Contact Intoxicated with Unknown Exposure to Psychoactive Substances",,,,,,,,,,,,,,,
"Botswana","Africa","Persons Convicted for Intentional Homicide",,,,,,,,,,,,,,,
"Botswana","Africa","Male Convicted for Intentional Homicide",,,,,,,,,,,,,,,
"Botswana","Africa","Female Convicted for Intentional Homicide",,,,,,,,,,,,,,,
"Botswana","Africa","Rate: Convicted",,,,,,,,,,,,,,,
"Botswana","Africa","Rate: Male Convicted",,,,,,,,,,,,,,,
"Botswana","Africa","Rate: Female Convicted",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Persons Brought into Formal Contact",3,3,0,8,,,,,,,,,,,
"Brunei Darussalam","Asia","Male Brought into Formal Contact",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Female Brought into Formal Contact",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Rate: Persons Brought into Formal Contact",0.8,0.8,0,2.2,,,,,,,,,,,
"Brunei Darussalam","Asia","Rate: Male Brought into Formal Contact",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Rate: Female Brought into Formal Contact",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Male 0-14 Brought into Formal Contact",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Male 0-17 Brought into Formal Contact",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Male 18-24 Brought into Formal Contact",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Male 25-29 Brought into Formal Contact",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Male 30-44 Brought into Formal Contact",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Male 45-59 Brought into Formal Contact",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Male over 60 Brought into Formal Contact",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Female 0-14 Brought into Formal Contact",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Female 0-17 Brought into Formal Contact",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Female 18-24 Brought into Formal Contact",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Female 25-29 Brought into Formal Contact",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Female 30-44 Brought into Formal Contact",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Female 45-59 Brought into Formal Contact",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Female over 60 Brought into Formal Contact",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Citizens Brought into Formal Contact",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Foreigners Brought into Formal Contact",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Male Citizens Brought into Formal Contact",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Female Citizens Brought into Formal Contact",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Male Foreigners Brought into Formal Contact",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Female Foreigners Brought into Formal Contact",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Persons Brought into Formal Contact not Intoxicated",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Persons Brought into Formal Contact Intoxicated by Alcohol",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Persons Brought into Formal Contact Intoxicated by Illicit Drugs",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Persons Brought into Formal Contact Intoxicated by Other Controlled Drugs or Psychoactive Substances",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Persons Brought into Formal Contact Intoxicated by a Combination of Psychoactive Substances",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Persons Brought into Formal Contact Intoxicated with Unknown Exposure to Psychoactive Substances",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Persons Convicted for Intentional Homicide",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Male Convicted for Intentional Homicide",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Female Convicted for Intentional Homicide",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Rate: Convicted",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Rate: Male Convicted",,,,,,,,,,,,,,,
"Brunei Darussalam","Asia","Rate: Female Convicted",,,,,,,,,,,,,,,
"Bulgaria","Europe","Persons Brought into Formal Contact",227,217,178,161,132,130,102,100,79,85,58,93,105,72,
"Bulgaria","Europe","Male Brought into Formal Contact",,,145,146,124,121,98,89,73,73,51,80,94,71,
"Bulgaria","Europe","Female Brought into Formal Contact",,,33,15,8,9,4,11,6,12,7,13,11,1,
"Bulgaria","Europe","Rate: Persons Brought into Formal Contact",2.9,2.8,2.3,2.1,1.7,1.7,1.4,1.4,1.1,1.2,0.8,1.3,1.5,1,
"Bulgaria","Europe","Rate: Male Brought into Formal Contact",,,3.9,3.9,3.4,3.3,2.7,2.5,2,2.1,1.4,2.3,2.7,2,
"Bulgaria","Europe","Rate: Female Brought into Formal Contact",,,3.7,3.7,3.2,3.1,2.6,2.3,1.9,1.9,1.4,2.2,2.5,1.9,
"Bulgaria","Europe","Male 0-14 Brought into Formal Contact",,,,,,,,,,,,,1,,
"Bulgaria","Europe","Male 0-17 Brought into Formal Contact",,,,,,4,3,2,1,2,1,5,5,5,
"Bulgaria","Europe","Male 18-24 Brought into Formal Contact",,,,,,27,20,21,19,15,13,0,18,0,
"Bulgaria","Europe","Male 25-29 Brought into Formal Contact",,,,,,21,18,17,13,19,10,10,12,32,
"Bulgaria","Europe","Male 30-44 Brought into Formal Contact",,,,,,34,28,24,20,17,15,14,34,16,
"Bulgaria","Europe","Male 45-59 Brought into Formal Contact",,,,,,25,21,18,15,13,9,30,20,18,
"Bulgaria","Europe","Male over 60 Brought into Formal Contact",,,,,,10,8,7,5,7,3,21,5,0,
"Bulgaria","Europe","Female 0-14 Brought into Formal Contact",,,,,,,,,,,,,1,,
"Bulgaria","Europe","Female 0-17 Brought into Formal Contact",,,,,,0,0,1,0,1,0,0,1,0,
"Bulgaria","Europe","Female 18-24 Brought into Formal Contact",,,,,,3,1,1,2,4,1,0,1,0,
"Bulgaria","Europe","Female 25-29 Brought into Formal Contact",,,,,,3,1,2,1,3,1,2,0,0,
"Bulgaria","Europe","Female 30-44 Brought into Formal Contact",,,,,,3,2,4,3,3,3,8,7,0,
"Bulgaria","Europe","Female 45-59 Brought into Formal Contact",,,,,,0,0,3,0,1,2,1,3,1,
"Bulgaria","Europe","Female over 60 Brought into Formal Contact",,,,,,0,0,0,0,0,0,2,0,0,
"Bulgaria","Europe","Citizens Brought into Formal Contact",,,,,,,,,,,,,,,
"Bulgaria","Europe","Foreigners Brought into Formal Contact",,,,,,,,,,,,,,,
"Bulgaria","Europe","Male Citizens Brought into Formal Contact",,,,,,,,,,,,,,,
"Bulgaria","Europe","Female Citizens Brought into Formal Contact",,,,,,,,,,,,,,,
"Bulgaria","Europe","Male Foreigners Brought into Formal Contact",,,,,,,,,,,,,,,
"Bulgaria","Europe","Female Foreigners Brought into Formal Contact",,,,,,,,,,,,,,,
"Bulgaria","Europe","Persons Brought into Formal Contact not Intoxicated",,,,,,95,67,67,49,49,36,52,,,
"Bulgaria","Europe","Persons Brought into Formal Contact Intoxicated by Alcohol",,,,,,35,33,33,30,35,19,29,,,
"Bulgaria","Europe","Persons Brought into Formal Contact Intoxicated by Illicit Drugs",,,,,,0,2,0,0,1,3,0,,,
"Bulgaria","Europe","Persons Brought into Formal Contact Intoxicated by Other Controlled Drugs or Psychoactive Substances",,,,,,,,,,,,,,,
"Bulgaria","Europe","Persons Brought into Formal Contact Intoxicated by a Combination of Psychoactive Substances",,,,,,,,,,,,,,,
"Bulgaria","Europe","Persons Brought into Formal Contact Intoxicated with Unknown Exposure to Psychoactive Substances",,,,,,,,,,,,,,,
"Bulgaria","Europe","Persons Convicted for Intentional Homicide",134,158,161,137,204,143,116,126,114,107,76,74,98,82,
"Bulgaria","Europe","Male Convicted for Intentional Homicide",121,139,149,122,190,134,107,113,107,97,65,66,93,77,
"Bulgaria","Europe","Female Convicted for Intentional Homicide",13,12,12,15,14,9,9,13,7,10,11,8,5,5,
"Bulgaria","Europe","Rate: Convicted",1.7,2,2.1,1.8,2.7,1.9,1.6,1.7,1.5,1.5,1,1,1.4,1.2,
"Bulgaria","Europe","Rate: Male Convicted",3.2,3.7,4,3.3,5.2,3.7,2.9,3.1,3,2.7,1.8,1.9,2.7,2.2,
"Bulgaria","Europe","Rate: Female Convicted",0.3,0.3,0.3,0.4,0.4,0.2,0.2,0.3,0.2,0.3,0.3,0.2,0.1,0.1,
"Cabo Verde","Africa","Persons Brought into Formal Contact",,,,,,,,,,,35,36,33,,
"Cabo Verde","Africa","Male Brought into Formal Contact",,,,,,,,,,,32,34,32,,
"Cabo Verde","Africa","Female Brought into Formal Contact",,,,,,,,,,,3,2,1,,
"Cabo Verde","Africa","Rate: Persons Brought into Formal Contact",,,,,,,,,,,6.7,6.8,6.2,,
"Cabo Verde","Africa","Rate: Male Brought into Formal Contact",,,,,,,,,,,12.4,13,12.1,,
"Cabo Verde","Africa","Rate: Female Brought into Formal Contact",,,,,,,,,,,12.3,12.9,12,,
"Cabo Verde","Africa","Male 0-14 Brought into Formal Contact",,,,,,,,,,,,,,,
"Cabo Verde","Africa","Male 0-17 Brought into Formal Contact",,,,,,,,,,,,,,,
"Cabo Verde","Africa","Male 18-24 Brought into Formal Contact",,,,,,,,,,,,,,,
"Cabo Verde","Africa","Male 25-29 Brought into Formal Contact",,,,,,,,,,,,,,,
"Cabo Verde","Africa","Male 30-44 Brought into Formal Contact",,,,,,,,,,,,,,,
"Cabo Verde","Africa","Male 45-59 Brought into Formal Contact",,,,,,,,,,,,,,,
"Cabo Verde","Africa","Male over 60 Brought into Formal Contact",,,,,,,,,,,,,,,
"Cabo Verde","Africa","Female 0-14 Brought into Formal Contact",,,,,,,,,,,,,,,
"Cabo Verde","Africa","Female 0-17 Brought into Formal Contact",,,,,,,,,,,,,,,
"Cabo Verde","Africa","Female 18-24 Brought into Formal Contact",,,,,,,,,,,,,,,
"Cabo Verde","Africa","Female 25-29 Brought into Formal Contact",,,,,,,,,,,,,,,
"Cabo Verde","Africa","Female 30-44 Brought into Formal Contact",,,,,,,,,,,,,,,
"Cabo Verde","Africa","Female 45-59 Brought into Formal Contact",,,,,,,,,,,,,,,
"Cabo Verde","Africa","Female over 60 Brought into Formal Contact",,,,,,,,,,,,,,,
"Cabo Verde","Africa","Citizens Brought into Formal Contact",,,,,,,,,,,,,,,
"Cabo Verde","Africa","Foreigners Brought into Formal Contact",,,,,,,,,,,,,,,
"Cabo Verde","Africa","Male Citizens Brought into Formal Contact",,,,,,,,,,,,,,,
"Cabo Verde","Africa","Female Citizens Brought into Formal Contact",,,,,,,,,,,,,,,
"Cabo Verde","Africa","Male Foreigners Brought into Formal Contact",,,,,,,,,,,,,,,
"Cabo Verde","Africa","Female Foreigners Brought into Formal Contact",,,,,,,,,,,,,,,
"Cabo Verde","Africa","Persons Brought into Formal Contact not Intoxicated",,,,,,,,,,,,,,,
"Cabo Verde","Africa","Persons Brought into Formal Contact Intoxicated by Alcohol",,,,,,,,,,,,,,,
"Cabo Verde","Africa","Persons Brought into Formal Contact Intoxicated by Illicit Drugs",,,,,,,,,,,,,,,
"Cabo Verde","Africa","Persons Brought into Formal Contact Intoxicated by Other Controlled Drugs or Psychoactive Substances",,,,,,,,,,,,,,,
"Cabo Verde","Africa","Persons Brought into Formal Contact Intoxicated by a Combination of Psychoactive Substances",,,,,,,,,,,,,,,
"Cabo Verde","Africa","Persons Brought into Formal Contact Intoxicated with Unknown Exposure to Psychoactive Substances",,,,,,,,,,,,,,,
"Cabo Verde","Africa","Persons Convicted for Intentional Homicide",,,,,,,,,,,,,,,
"Cabo Verde","Africa","Male Convicted for Intentional Homicide",,,,,,,,,,,,,,,
"Cabo Verde","Africa","Female Convicted for Intentional Homicide",,,,,,,,,,,,,,,
"Cabo Verde","Africa","Rate: Convicted",,,,,,,,,,,,,,,
"Cabo Verde","Africa","Rate: Male Convicted",,,,,,,,,,,,,,,
"Cabo Verde","Africa","Rate: Female Convicted",,,,,,,,,,,,,,,
"Canada","Americas","Persons Brought into Formal Contact",424,469,550,470,462,522,558,586,612,546,498,469,525,480,
"Canada","Americas","Male Brought into Formal Contact",,422,499,409,415,471,498,520,553,488,442,410,464,413,
"Canada","Americas","Female Brought into Formal Contact",,47,51,61,47,51,60,66,59,58,56,59,61,67,
"Canada","Americas","Rate: Persons Brought into Formal Contact",1.3,1.5,1.7,1.4,1.4,1.6,1.7,1.7,1.8,1.6,1.4,1.3,1.5,1.3,
"Canada","Americas","Rate: Male Brought into Formal Contact",,2.7,3.1,2.5,2.5,2.8,3,3.1,3.2,2.8,2.5,2.3,2.6,2.3,
"Canada","Americas","Rate: Female Brought into Formal Contact",,2.6,3.1,2.5,2.5,2.8,2.9,3,3.2,2.8,2.5,2.3,2.6,2.3,
"Canada","Americas","Male 0-14 Brought into Formal Contact",,,,,,,,,,,4,1,5,2,
"Canada","Americas","Male 0-17 Brought into Formal Contact",,,,,,52,74,55,45,38,37,23,31,18,
"Canada","Americas","Male 18-24 Brought into Formal Contact",,,,,,165,167,170,185,170,140,123,147,120,
"Canada","Americas","Male 25-29 Brought into Formal Contact",,,,,,70,77,98,91,82,69,78,88,89,
"Canada","Americas","Male 30-44 Brought into Formal Contact",,,,,,122,106,118,126,109,121,113,127,110,
"Canada","Americas","Male 45-59 Brought into Formal Contact",,,,,,47,58,54,80,66,54,52,58,54,
"Canada","Americas","Male over 60 Brought into Formal Contact",,,,,,15,15,25,26,24,21,22,14,21,
"Canada","Americas","Female 0-14 Brought into Formal Contact",,,,,,,,,,,0,0,0,0,
"Canada","Americas","Female 0-17 Brought into Formal Contact",,,,,,4,6,5,6,1,5,6,2,4,
"Canada","Americas","Female 18-24 Brought into Formal Contact",,,,,,10,16,19,9,11,15,16,12,10,
"Canada","Americas","Female 25-29 Brought into Formal Contact",,,,,,9,10,9,17,11,8,8,14,14,
"Canada","Americas","Female 30-44 Brought into Formal Contact",,,,,,18,20,23,18,28,20,20,20,25,
"Canada","Americas","Female 45-59 Brought into Formal Contact",,,,,,8,8,9,7,3,6,8,11,13,
"Canada","Americas","Female over 60 Brought into Formal Contact",,,,,,2,0,1,1,2,2,1,3,1,
"Canada","Americas","Citizens Brought into Formal Contact",,,,,,,,,,,,,,,
"Canada","Americas","Foreigners Brought into Formal Contact",,,,,,,,,,,,,,,
"Canada","Americas","Male Citizens Brought into Formal Contact",,,,,,,,,,,,,,,
"Canada","Americas","Female Citizens Brought into Formal Contact",,,,,,,,,,,,,,,
"Canada","Americas","Male Foreigners Brought into Formal Contact",,,,,,,,,,,,,,,
"Canada","Americas","Female Foreigners Brought into Formal Contact",,,,,,,,,,,,,,,
"Canada","Americas","Persons Brought into Formal Contact not Intoxicated",,,,,,77,112,115,146,94,112,106,104,,
"Canada","Americas","Persons Brought into Formal Contact Intoxicated by Alcohol",,,,,,166,159,176,188,154,135,142,141,,
"Canada","Americas","Persons Brought into Formal Contact Intoxicated by Illicit Drugs",,,,,,23,28,20,23,33,28,30,32,,
"Canada","Americas","Persons Brought into Formal Contact Intoxicated by Other Controlled Drugs or Psychoactive Substances",,,,,,4,3,6,4,11,11,2,5,,
"Canada","Americas","Persons Brought into Formal Contact Intoxicated by a Combination of Psychoactive Substances",,,,,,78,79,93,81,80,77,65,96,,
"Canada","Americas","Persons Brought into Formal Contact Intoxicated with Unknown Exposure to Psychoactive Substances",,,,,,174,176,176,169,175,135,124,147,,
"Canada","Americas","Persons Convicted for Intentional Homicide",159,171,177,165,171,135,149,146,145,133,146,108,,,
"Canada","Americas","Male Convicted for Intentional Homicide",,155,156,146,142,122,133,132,127,118,127,93,,,
"Canada","Americas","Female Convicted for Intentional Homicide",,16,21,19,29,13,16,14,18,15,19,15,,,
"Canada","Americas","Rate: Convicted",0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.3,,,
"Canada","Americas","Rate: Male Convicted",,1,1,0.9,0.9,0.7,0.8,0.8,0.7,0.7,0.7,0.5,,,
"Canada","Americas","Rate: Female Convicted",,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,
"Chile","Americas","Persons Brought into Formal Contact",,,,,,374,424,350,371,432,342,325,278,240,
"Chile","Americas","Male Brought into Formal Contact",,,,,,334,389,310,334,385,298,293,249,219,
"Chile","Americas","Female Brought into Formal Contact",,,,,,40,35,40,37,47,44,32,29,21,
"Chile","Americas","Rate: Persons Brought into Formal Contact",,,,,,2.2,2.5,2.1,2.2,2.5,2,1.8,1.6,1.3,
"Chile","Americas","Rate: Male Brought into Formal Contact",,,,,,4.1,4.7,3.7,3.9,4.5,3.4,3.4,2.8,2.5,
"Chile","Americas","Rate: Female Brought into Formal Contact",,,,,,4,4.6,3.6,3.9,4.4,3.4,3.3,2.8,2.4,
"Chile","Americas","Male 0-14 Brought into Formal Contact",,,,,,,,,,,,,,,
"Chile","Americas","Male 0-17 Brought into Formal Contact",,,,,,27,61,42,42,43,26,30,,25,
"Chile","Americas","Male 18-24 Brought into Formal Contact",,,,,,114,120,108,100,125,97,93,,54,
"Chile","Americas","Male 25-29 Brought into Formal Contact",,,,,,54,57,45,44,48,33,37,,31,
"Chile","Americas","Male 30-44 Brought into Formal Contact",,,,,,90,91,62,83,103,75,88,,65,
"Chile","Americas","Male 45-59 Brought into Formal Contact",,,,,,38,38,43,47,53,49,40,,29,
"Chile","Americas","Male over 60 Brought into Formal Contact",,,,,,11,22,11,19,13,18,5,,15,
"Chile","Americas","Female 0-14 Brought into Formal Contact",,,,,,,,,,,,,,,
"Chile","Americas","Female 0-17 Brought into Formal Contact",,,,,,4,4,6,3,5,4,1,,0,
"Chile","Americas","Female 18-24 Brought into Formal Contact",,,,,,13,7,7,14,15,12,12,,6,
"Chile","Americas","Female 25-29 Brought into Formal Contact",,,,,,9,11,6,4,9,8,2,,5,
"Chile","Americas","Female 30-44 Brought into Formal Contact",,,,,,13,7,14,7,13,11,14,,4,
"Chile","Americas","Female 45-59 Brought into Formal Contact",,,,,,1,5,5,6,5,8,2,,4,
"Chile","Americas","Female over 60 Brought into Formal Contact",,,,,,0,1,2,2,0,1,1,,2,
"Chile","Americas","Citizens Brought into Formal Contact",,,,,,,,,,,,,,226,
"Chile","Americas","Foreigners Brought into Formal Contact",,,,,,,,,,,,,,14,
"Chile","Americas","Male Citizens Brought into Formal Contact",,,,,,,,,,,,,,208,
"Chile","Americas","Female Citizens Brought into Formal Contact",,,,,,,,,,,,,,18,
"Chile","Americas","Male Foreigners Brought into Formal Contact",,,,,,,,,,,,,,11,
"Chile","Americas","Female Foreigners Brought into Formal Contact",,,,,,,,,,,,,,3,
"Chile","Americas","Persons Brought into Formal Contact not Intoxicated",,,,,,,,,,,,,,,
"Chile","Americas","Persons Brought into Formal Contact Intoxicated by Alcohol",,,,,,,,,,,,,,,
"Chile","Americas","Persons Brought into Formal Contact Intoxicated by Illicit Drugs",,,,,,,,,,,,,,,
"Chile","Americas","Persons Brought into Formal Contact Intoxicated by Other Controlled Drugs or Psychoactive Substances",,,,,,,,,,,,,,,
"Chile","Americas","Persons Brought into Formal Contact Intoxicated by a Combination of Psychoactive Substances",,,,,,,,,,,,,,,
"Chile","Americas","Persons Brought into Formal Contact Intoxicated with Unknown Exposure to Psychoactive Substances",,,,,,,,,,,,,,,
"Chile","Americas","Persons Convicted for Intentional Homicide",,,,,,1312,1355,1681,1217,1511,1453,1100,1115,1490,
"Chile","Americas","Male Convicted for Intentional Homicide",,,,,,,,,,,,,,,
"Chile","Americas","Female Convicted for Intentional Homicide",,,,,,,,,,,,,,,
"Chile","Americas","Rate: Convicted",,,,,,7.9,8.1,9.9,7.1,8.7,8.3,6.2,6.3,8.3,
"Chile","Americas","Rate: Male Convicted",,,,,,,,,,,,,,,
"Chile","Americas","Rate: Female Convicted",,,,,,,,,,,,,,,
"China, Hong Kong Special Administrative Region","Asia","Persons Brought into Formal Contact",85,79,65,50,25,42,35,35,19,66,55,32,28,39,37
"China, Hong Kong Special Administrative Region","Asia","Male Brought into Formal Contact",70,56,62,47,21,37,29,25,12,60,48,27,24,33,34
"China, Hong Kong Special Administrative Region","Asia","Female Brought into Formal Contact",15,23,3,3,4,5,6,10,7,6,7,5,4,6,3
"China, Hong Kong Special Administrative Region","Asia","Rate: Persons Brought into Formal Contact",1.3,1.2,1,0.7,0.4,0.6,0.5,0.5,0.3,0.9,0.8,0.4,0.4,0.5,0.5
"China, Hong Kong Special Administrative Region","Asia","Rate: Male Brought into Formal Contact",2.1,1.7,1.9,1.4,0.6,1.1,0.9,0.8,0.4,1.8,1.4,0.8,0.7,1,1
"China, Hong Kong Special Administrative Region","Asia","Rate: Female Brought into Formal Contact",2,1.6,1.7,1.3,0.6,1,0.8,0.7,0.3,1.6,1.3,0.7,0.6,0.8,0.9
"China, Hong Kong Special Administrative Region","Asia","Male 0-14 Brought into Formal Contact",0,4,1,2,0,0,0,1,0,0,0,0,0,0,0
"China, Hong Kong Special Administrative Region","Asia","Male 0-17 Brought into Formal Contact",3,6,10,11,7,4,0,3,2,1,1,0,0,0,0
"China, Hong Kong Special Administrative Region","Asia","Male 18-24 Brought into Formal Contact",23,17,7,10,4,14,5,1,1,21,12,5,1,11,8
"China, Hong Kong Special Administrative Region","Asia","Male 25-29 Brought into Formal Contact",9,12,7,4,4,2,4,7,1,11,7,6,5,5,10
"China, Hong Kong Special Administrative Region","Asia","Male 30-44 Brought into Formal Contact",22,13,26,12,5,11,11,10,4,12,16,7,12,6,11
"China, Hong Kong Special Administrative Region","Asia","Male 45-59 Brought into Formal Contact",8,4,8,8,1,5,6,4,2,14,9,7,4,6,1
"China, Hong Kong Special Administrative Region","Asia","Male over 60 Brought into Formal Contact",5,4,4,2,0,1,3,0,2,1,3,2,2,5,4
"China, Hong Kong Special Administrative Region","Asia","Female 0-14 Brought into Formal Contact",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"China, Hong Kong Special Administrative Region","Asia","Female 0-17 Brought into Formal Contact",0,7,0,0,1,1,0,2,0,0,2,2,0,1,0
"China, Hong Kong Special Administrative Region","Asia","Female 18-24 Brought into Formal Contact",6,2,0,1,0,0,0,2,0,0,1,1,0,2,1
"China, Hong Kong Special Administrative Region","Asia","Female 25-29 Brought into Formal Contact",1,3,0,0,0,0,1,1,2,2,1,0,0,1,0
"China, Hong Kong Special Administrative Region","Asia","Female 30-44 Brought into Formal Contact",8,7,3,2,1,1,4,3,4,3,2,1,3,1,2
"China, Hong Kong Special Administrative Region","Asia","Female 45-59 Brought into Formal Contact",0,4,0,0,2,3,1,2,1,1,0,1,1,1,0
"China, Hong Kong Special Administrative Region","Asia","Female over 60 Brought into Formal Contact",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"China, Hong Kong Special Administrative Region","Asia","Citizens Brought into Formal Contact",,,,,,,,,,,,,,,
"China, Hong Kong Special Administrative Region","Asia","Foreigners Brought into Formal Contact",,,,,,,,,,,,,,,
"China, Hong Kong Special Administrative Region","Asia","Male Citizens Brought into Formal Contact",,,,,,,,,,,,,,,
"China, Hong Kong Special Administrative Region","Asia","Female Citizens Brought into Formal Contact",,,,,,,,,,,,,,,
"China, Hong Kong Special Administrative Region","Asia","Male Foreigners Brought into Formal Contact",,,,,,,,,,,,,,,
"China, Hong Kong Special Administrative Region","Asia","Female Foreigners Brought into Formal Contact",,,,,,,,,,,,,,,
"China, Hong Kong Special Administrative Region","Asia","Persons Brought into Formal Contact not Intoxicated",,,,,,,,,,,,,,,
"China, Hong Kong Special Administrative Region","Asia","Persons Brought into Formal Contact Intoxicated by Alcohol",,,,,,,,,,,,,,,
"China, Hong Kong Special Administrative Region","Asia","Persons Brought into Formal Contact Intoxicated by Illicit Drugs",,,,,,,,,,,,,,,
"China, Hong Kong Special Administrative Region","Asia","Persons Brought into Formal Contact Intoxicated by Other Controlled Drugs or Psychoactive Substances",,,,,,,,,,,,,,,
"China, Hong Kong Special Administrative Region","Asia","Persons Brought into Formal Contact Intoxicated by a Combination of Psychoactive Substances",,,,,,,,,,,,,,,
"China, Hong Kong Special Administrative Region","Asia","Persons Brought into Formal Contact Intoxicated with Unknown Exposure to Psychoactive Substances",,,,,,,,,,,,,,,
"China, Hong Kong Special Administrative Region","Asia","Persons Convicted for Intentional Homicide",12,8,12,16,11,7,15,14,15,9,7,13,5,5,2
"China, Hong Kong Special Administrative Region","Asia","Male Convicted for Intentional Homicide",8,7,10,14,10,5,13,12,14,8,7,13,5,5,2
"China, Hong Kong Special Administrative Region","Asia","Female Convicted for Intentional Homicide",4,1,2,2,1,2,2,2,1,1,0,0,0,0,0
"China, Hong Kong Special Administrative Region","Asia","Rate: Convicted",0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0
"China, Hong Kong Special Administrative Region","Asia","Rate: Male Convicted",0.2,0.2,0.3,0.4,0.3,0.2,0.4,0.4,0.4,0.2,0.2,0.4,0.1,0.1,0.1
"China, Hong Kong Special Administrative Region","Asia","Rate: Female Convicted",0.1,0,0.1,0.1,0,0.1,0.1,0.1,0,0,0,0,0,0,0
"China, Macao Special Administrative Region","Asia","Persons Brought into Formal Contact",,,,,,11,7,8,3,4,1,0,1,1,
"China, Macao Special Administrative Region","Asia","Male Brought into Formal Contact",,,,,,11,6,8,3,4,1,0,1,1,
"China, Macao Special Administrative Region","Asia","Female Brought into Formal Contact",,,,,,0,1,0,0,0,0,0,0,0,
"China, Macao Special Administrative Region","Asia","Rate: Persons Brought into Formal Contact",,,,,,2.1,1.3,1.5,0.5,0.7,0.2,0,0.2,0.2,
"China, Macao Special Administrative Region","Asia","Rate: Male Brought into Formal Contact",,,,,,4.5,2.4,3.1,1.1,1.5,0.4,0,0.3,0.3,
"China, Macao Special Administrative Region","Asia","Rate: Female Brought into Formal Contact",,,,,,4.1,2.2,2.9,1.1,1.4,0.3,0,0.3,0.3,
"China, Macao Special Administrative Region","Asia","Male 0-14 Brought into Formal Contact",,,,,,,,,,,0,,0,0,
"China, Macao Special Administrative Region","Asia","Male 0-17 Brought into Formal Contact",,,,,,,,,,,0,,0,0,
"China, Macao Special Administrative Region","Asia","Male 18-24 Brought into Formal Contact",,,,,,,,,,,0,,0,0,
"China, Macao Special Administrative Region","Asia","Male 25-29 Brought into Formal Contact",,,,,,,,,,,0,,0,0,
